Contract,Total Revenue ,Total Refunds ,Refund Ratio ,Count of Customer ID
Month-to-Month,"$3,806,875.37","$3,330.68",0.000874912,2193
No offer,"$2,129,698.56",1876.15,0.000880946,1236
Offer A,"$55,161.92",0,0,6
Offer B,"$774,499.67",325.56,0.000420349,146
Offer C,"$374,407.59",284.68,0.000760348,128
Offer D,"$350,006.85",455.62,0.001301746,248
Offer E,"$123,100.78",388.67,0.003157332,429
One Year,"$3,704,942.01","$1,882.32",0.000508057,904
No offer,"$1,958,133.86",1145.05,0.000584766,493
Offer A,"$439,537.19",200.28,0.000455661,60
Offer B,"$1,004,184.88",176.29,0.000175555,189
Offer C,"$230,924.34",169.85,0.000735522,83
Offer D,"$64,728.23",121.24,0.001873062,58
Offer E,"$7,433.51",69.61,0.009364351,21
Two Year,"$5,441,225.99","$3,042.00",0.000559065,1128
No offer,"$2,772,930.86",1937.6,0.000698755,595
Offer A,"$1,741,683.96",572.77,0.00032886,253
Offer B,"$801,604.73",311.67,0.000388808,180
Offer C,"$79,352.81",151.82,0.001913228,40
Offer D,"$36,077.48",68.14,0.001888713,35
Offer E,"$9,576.15",0,0,25
Grand Total,"$12,953,043.37",8255,0.000637302,4225
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
